"ArtikelID","Omschrijving","Eenheid","Inhoud","Prijs","Barcode","Leverancier","Categorie","Subcategorie"
"SL5171.3","Zwaardvisfilet met vel","ls","1 kg","x","5171","Bavaria","f","0"
"SL2003.3","Kabeljauwloins skrei met vel","ls","1 kg","x","2003","Bavaria","f","0"
"BA45010.1","Halfvolle melk","pk","1 lt","0","45010","Bavaria","d","0"
"BA45019.1","Volle melk","pk","1 lt","100","45019","Bavaria","d","0"
"HA61541.1","Jurt. Gruner Veltl 12,5%","fl","75 cl","x/6","9,00795E+12","Bavaria","d","0"
"HA61608.1","TB Goudse stroopwafel","tb","750ml","0","61608","Bavaria","d","0"
"HA62100.1","Koffie Alfredo Espresso Superbar6x1kg","ds","1 kg","0","4,00658E+12","Bavaria","d","0"
"HA62101.1","Koffie Idee cafvrij 12x500g BA","pk","500 gr","0","4,00658E+12","Bavaria","d","0"
"HA62102.1","Cacao classic brown","pk","1 kg","0","4,00658E+12","Bavaria","d","0"
"HA62102.2","Cacao classic Brown Valk BA","ds","pak","78.5","4,00658E+12","Bavaria","d","0"
"HA62103.1","Koffie Bistro Montana Valk6xkg","ds","6xkg","70.98","4,00658E+12","Bavaria","d","0"
"HA62104.2","Koffie Inst Gold 6x250gr BA","ds","6 * 250 gr","81.35","4,00658E+12","Bavaria","d","0"
"HA62108.1","Topping Valk 20x500gr BA","pk","500 gr","0","4,00658E+12","Bavaria","d","0"
"HA62109.1","Koffie Alfredo espresso Valk 6x1kg","zk","1 kg","0","62109","Bavaria","d","0"
"HA62113.1","Cocao Stick Brown","ds","100 st","27.45","9,00006E+13","Bavaria","d","0"
"HA62114.1","Koffie Cafe Melange Maxx bonen","ds","6 * 1 kg","42.9","4,00658E+12","Bavaria","d","0"
"HA62114.3","Koffie Max. Cafe melange","ds","6x1 kg","42.9","4,00658E+12","Bavaria","d","0"
"HA62116.1","Koffie Kenya Massai Bonen BA","zk","","0","62116","Bavaria","d","0"
"HA62117.1","Koffie Kenya Massai Bonen BA","zk","","0","62117","Bavaria","d","0"
"HA62118.1","Koffie Colombia Supremo Bonen BA","zk","","0","62118","Bavaria","d","0"
"HA62119.1","Koffie Brazil Sul de Minas BA","zk","","0","62119","Bavaria","d","0"
"HA62120.1","Koffie India Taj Mahal Bonen BA","zk","","0","62120","Bavaria","d","0"
"HA62121.1","Thee Darjeeling Roy.SecondFlush BA","zk","","???.99","62121","Bavaria","d","0"
"HA62122.1","Eilles earl grey nr 42 BA","zk","250 gr","???.55","62122","Bavaria","d","0"
"HA62123.1","Thee Bio Wulu Cha Yantou BA","zk","","???.65","62123","Bavaria","d","0"
"HA62124.1","Rooibos Vanilla BA","zk","","???.15","62124","Bavaria","d","0"
"HA62125.1","Fruitgarden BA","zk","","???.15","62125","Bavaria","d","0"
