Sligro;ivp;vp;maat;eh;Sligro artikelomschrijving;prijs;Categorie;Subcategorie;barcode;Leverancier
106916.1;24;fl;25;cl;Red bull energy drink, blik;1.05;d;Frisdranken klein kzh;90162909;Sligro
106877.1;24;fl;20;cl;Minute maid appel, flesje;0.51;d;Vruchtensappen;90491436;Sligro
107205.1;24;bl;33;cl;Minute maid orange, blik;0.84;d;Vruchtensappen;90494024;Sligro
107182.1;1;st;100;ml;Axe compressed deospray black;10.36;o;Cosmetica;96100554;Sligro
107221.1;1;st;;;Vacuumzakken 15x25cm 70c;6.32;o;Verpakkingsmat./dispos. grootv;1193323921;Sligro
105384.1;1;st;;;Vacuumzakken 25x35cm 70c;15.68;o;Verpakkingsmat./dispos. grootv;1199654883;Sligro
105685.1;1;st;;;Vacuumzakken 250x280 70c;11.88;o;Verpakkingsmat./dispos. grootv;1199975827;Sligro
104676.1;1;st;;;Vacuumzakken 20x33cm 70c;11.88;o;Verpakkingsmat./dispos. grootv;1199977449;Sligro
106694.1;1;ds;72;st;Panesco vikingbrod 12x6st;27.50;f;Broodproducten diepvries;5412632717;Sligro
105436.1;1;pk;10;st;Polifix schuurspons geel/sch.pad gr.10st;8.50;o;Schoonmaakartikelen;7789089507;Sligro
105693.1;1;fl;57;ml;Tabasco red pepper sauce;9.26;f;Vlees- vis en groentesauzen;11210115231;Sligro
104647.1;2;ls;;;Bormioli rocco coupe primavera uni;3.40;o;Glaswerk;11381002699;Sligro
106762.1;1;st;;;Bormioli rocco beugelfles 0l25;2.00;o;Glaswerk;11381036021;Sligro
106903.1;1;st;;;Bormioli rocco beugelfles 0l50;2.04;o;Glaswerk;11381038681;Sligro
106827.1;1;pk;625;st;Foodsecure daglabel beschrijfb 25x25 dinsdag;8.31;o;Keukengereedschappen;18291993628;Sligro
105795.1;1;pk;625;st;Foodsecure daglabel beschrijfb 25x25 zondag;8.31;o;Keukengereedschappen;18291993673;Sligro
108052.1;1;pk;625;st;Foodsecure daglabel beschrijfb 25x25 woensdag;7.84;o;Keukengereedschappen;18291994229;Sligro
107145.1;1;pk;625;st;Foodsecure daglabel beschrijfb25x25 dond;8.31;o;Keukengereedschappen;18291994236;Sligro
106526.1;1;pk;625;st;Foodsecure dagl beschrijfb 25x25 vri zob;7.13;o;Keukengereedschappen;18291994243;Sligro
107336.1;1;st;;;Cdn kern thermometer digitaal;12.02;o;Keukengereedschappen;18436004578;Sligro
107187.1;1;st;;;Cdn kernthermometer digitaal;16.48;o;Keukengereedschappen;18436006190;Sligro
105216.1;1;ds;24;st;Pidy profiterolles;4.28;d;Patisserieprodukten;20176823005;Sligro
