ArtikelID;Omschrijving;Eenheid;Inhoud;Prijs;Barcode;Leverancier;Categorie;Subcategorie;;
HA61606.1;TB Brab. Aardbeien TB 6x750ml;tb;750ml;x/6;61606;havi;f;brood banket & cereals;;
HA61606.2;Baverois TB aardbeien;st;750 ml;x/6;5410410006175;havi;f;desserts ijs & siropen;;
HA61607;TB Appeltaart Gr.moeders TB 6x750;ds;6 * 750 ml;16.15;5410410006137;havi;f;desserts ijs & siropen;;
HA61607.1;TB Appeltaart Gr.moeders;tb;750ml;x/6;61607;havi;f;brood banket & cereals;;
HA61608;TB Goudse stroopwafel 6x750ml;ds;6 * 750 ml;16.15;5410410006441;havi;f;desserts ijs & siropen;;
HA61608.1;TB Goudse stroopwafel;tb;750ml;x/6;61608;havi;d;koffie thee & choc;;
HA61609;TB Hangop m. frambozen 6x750ml;ds;6 * 750 ml;16.15;5410410006168;havi;f;desserts ijs & siropen;;
HA61609.1;TB Hangop m. frambozen TB 6x750ml;tb;750 ml;x/6;61609;havi;f;desserts ijs & siropen;;
HA61610;IJs Mokka Roomijs 5l BA;bk;5 lt;6.99;5410410000517;havi;f;desserts ijs & siropen;;
HA61610.1;IJS Mokka Roomijs;bk;5 lt;x;61610;havi;f;desserts ijs & siropen;;
HA61611;IJs Rum Rozijnen Caddy Gelato BA;bk;5 lt;5.95;5410410005673;havi;f;desserts ijs & siropen;;
HA61611.1;IJs Rum Rozijnen Caddy Gelato BA;bk;5 lt;x;61611;havi;f;desserts ijs & siropen;;
HA61612;IJs Stracciatella Roomijs 5l;bk;5 lt;8.75;5410410000487;havi;f;desserts ijs & siropen;;
HA61612.1;IJS Stracciatella Roomijs;bk;5 lt;x;61612;havi;f;desserts ijs & siropen;;
HA61613;IJs Chocolade ijs 5l;bk;5 lt;6.99;5410410000524;havi;f;desserts ijs & siropen;;
HA61613.1;IJs Chocolade ijs ;bk;5 lt;x;61613;havi;f;desserts ijs & siropen;;
HA61614;IJs Pistache ijs 5l;bk;5 lt;6.99;5410410000548;havi;f;desserts ijs & siropen;;
HA61614.1;IJs Pistache ijs;bk;5 lt;x;61614;havi;f;desserts ijs & siropen;;
HA61616;IJs Vanille ijs Valk 5l;bk;5 lt;6.49;5410410000500;havi;f;desserts ijs & siropen;;
HA61616.1;IJs Vanille ijs Valk ;bk;5 lt;x;61616;havi;f;desserts ijs & siropen;;
